topic_number,top_words
1,"defense, united, states, development, air, systems, production, military, department, intelligence"
2,"year, taxable, tax, account, income, purposes, respect, general, taxpayer, term"
3,"individual, state, plan, health, specified, respect, described, term, care, services"
4,"pharmacy, benefit, drug, manager, drugs, plan, entity, sponsor, covered, general"
5,"foreign, date, tax, energy, term, public, project, entity, applicable, enactment"
6,"student, loan, institution, year, education, repayment, higher, study, federal, borrower"
7,"available, year, fiscal, appropriated, opportunity, qualified, remain, security, treasury, zone"
8,"striking, inserting, end, date, following, years, apply, general, qualified, december"
9,"year, fiscal, fee, alien, general, immigration, specified, fees, month, urban"
10,"lease, gas, oil, federal, sale, date, leasing, land, issued, pursuant"
